indices,forgetting counts,forgettable,targets
0,0,0,9
1,0,0,0
2,0,0,0
3,17,1,3
4,21,1,0
5,0,0,2
6,0,0,7
7,3,1,2
8,0,0,5
9,0,0,5
10,0,0,0
11,0,0,9
12,0,0,5
13,0,0,5
14,0,0,7
15,0,0,9
16,0,0,1
17,1,1,0
18,1,1,6
19,0,0,4
20,0,0,3
21,0,0,1
22,0,0,4
23,0,0,8
24,3,1,4
25,0,0,3
26,0,0,0
27,19,1,2
28,1,1,4
29,1,1,4
30,0,0,5
31,0,0,3
32,13,1,6
33,0,0,6
34,0,0,0
35,0,0,8
36,0,0,5
37,0,0,2
38,0,0,1
39,0,0,6
40,0,0,6
41,0,0,7
42,0,0,9
43,0,0,5
44,0,0,9
45,0,0,2
46,0,0,7
47,0,0,3
48,0,0,0
49,0,0,3
50,0,0,3
51,0,0,3
52,0,0,7
53,5,1,2
54,7,1,2
55,15,1,6
56,14,1,6
57,0,0,8
58,0,0,3
59,0,0,3
60,0,0,5
61,20,1,0
62,0,0,5
63,0,0,5
64,6,1,0
65,0,0,2
66,0,0,0
67,14,1,0
68,0,0,4
69,0,0,1
70,4,1,3
71,0,0,1
72,0,0,6
73,0,0,3
74,0,0,1
75,0,0,4
76,4,1,4
77,4,1,6
78,0,0,1
79,0,0,9
80,0,0,1
81,0,0,3
82,0,0,5
83,0,0,7
84,0,0,9
85,0,0,7
86,0,0,1
87,0,0,7
88,0,0,9
89,4,1,9
90,0,0,9
91,0,0,3
92,1,1,2
93,0,0,9
94,0,0,3
95,0,0,6
96,6,1,4
97,0,0,1
98,0,0,1
99,0,0,8
100,0,0,8
101,2,1,0
102,0,0,1
103,0,0,1
104,1,1,6
105,0,0,8
106,0,0,1
107,5,1,9
108,0,0,7
109,1,1,8
110,0,0,8
111,0,0,9
112,0,0,6
113,19,1,6
114,0,0,3
115,0,0,1
116,0,0,5
117,1,1,4
118,8,1,6
119,0,0,7
120,0,0,5
121,0,0,5
122,0,0,9
123,0,0,2
124,0,0,2
125,4,1,2
126,0,0,7
127,5,1,6
128,0,0,4
129,0,0,1
130,0,0,8
131,0,0,7
132,0,0,7
133,0,0,5
134,4,1,4
135,0,0,2
136,0,0,9
137,0,0,1
138,0,0,7
139,0,0,4
140,0,0,6
141,0,0,9
142,1,1,7
143,0,0,1
144,0,0,8
145,0,0,7
146,0,0,1
147,0,0,2
148,0,0,8
149,1,1,0
150,0,0,9
151,0,0,1
152,0,0,8
153,0,0,7
154,0,0,0
155,0,0,5
156,0,0,8
157,0,0,6
158,0,0,7
159,0,0,2
160,11,1,0
161,0,0,8
162,0,0,7
163,0,0,1
164,10,1,6
165,15,1,2
166,0,0,1
167,0,0,9
168,16,1,6
169,200,1,0
170,0,0,1
171,2,1,0
