indices,forgetting counts,forgettable,targets
0,5,1,6
1,0,0,9
2,2,1,9
3,0,0,4
4,0,0,1
5,1,1,1
6,1,1,2
7,0,0,7
8,1,1,8
9,0,0,3
10,2,1,4
11,0,0,7
12,0,0,7
13,4,1,2
14,1,1,9
15,1,1,9
16,3,1,9
17,25,1,3
18,5,1,2
19,8,1,6
20,2,1,4
21,27,1,3
22,0,0,6
23,0,0,6
24,3,1,2
25,3,1,6
26,0,0,3
27,27,1,5
28,3,1,4
29,13,1,0
30,3,1,0
31,0,0,9
32,0,0,1
33,1,1,3
34,1,1,4
35,15,1,0
36,1,1,3
37,1,1,7
38,20,1,3
39,18,1,3
40,0,0,5
41,0,0,2
42,11,1,2
43,0,0,7
44,0,0,1
45,1,1,1
46,0,0,1
47,9,1,2
48,5,1,2
49,3,1,0
50,6,1,9
51,18,1,5
52,3,1,7
53,5,1,9
54,1,1,2
55,1,1,2
56,8,1,5
57,1,1,2
58,8,1,4
59,6,1,3
60,0,0,1
61,0,0,1
62,0,0,8
63,1,1,2
64,2,1,1
65,0,0,1
66,1,1,4
67,8,1,9
68,0,0,7
69,1,1,8
70,12,1,5
71,6,1,9
72,1,1,6
73,6,1,7
74,19,1,3
75,6,1,1
76,1,1,9
77,6,1,0
78,15,1,3
79,1,1,1
80,16,1,3
81,25,1,5
82,0,0,4
83,18,1,5
84,13,1,7
85,9,1,7
86,1,1,4
87,0,0,7
88,2,1,9
89,17,1,4
90,16,1,2
91,1,1,3
92,18,1,8
93,1,1,0
94,1,1,1
95,1,1,6
96,0,0,1
97,5,1,1
98,2,1,4
99,5,1,1
100,11,1,8
101,1,1,3
102,10,1,9
103,5,1,6
104,1,1,6
105,0,0,1
106,2,1,8
107,8,1,5
108,0,0,2
109,0,0,9
110,6,1,9
111,25,1,8
112,0,0,1
113,18,1,7
114,3,1,7
115,3,1,0
116,1,1,0
117,0,0,6
118,1,1,9
119,0,0,1
120,0,0,2
121,4,1,2
122,0,0,9
123,5,1,2
124,0,0,6
125,0,0,6
126,0,0,1
127,5,1,9
128,19,1,5
129,1,1,0
130,20,1,4
131,9,1,7
132,2,1,6
133,1,1,7
134,0,0,1
135,6,1,8
136,2,1,1
137,1,1,1
138,2,1,2
139,0,0,8
140,21,1,1
141,25,1,3
142,15,1,3
143,0,0,6
144,2,1,2
145,0,0,4
146,11,1,9
147,4,1,9
148,3,1,5
149,0,0,4
150,6,1,3
151,16,1,6
152,0,0,7
153,0,0,4
154,11,1,6
155,0,0,8
156,25,1,5
157,16,1,5
158,1,1,4
159,21,1,3
160,0,0,1
161,0,0,8
162,9,1,4
163,1,1,7
164,0,0,6
165,0,0,0
166,9,1,9
167,3,1,5
168,5,1,1
169,0,0,3
170,15,1,8
171,1,1,2
172,0,0,7
173,0,0,5
174,9,1,3
175,0,0,4
176,0,0,1
177,1,1,5
178,9,1,7
179,19,1,0
180,0,0,4
181,2,1,7
182,3,1,5
183,1,1,5
184,0,0,1
185,9,1,0
186,1,1,9
187,1,1,6
188,0,0,9
189,11,1,0
190,12,1,8
191,20,1,7
192,0,0,8
193,2,1,8
194,8,1,2
195,7,1,5
196,2,1,2
197,23,1,3
198,1,1,5
199,1,1,0
200,1,1,6
201,0,0,1
202,0,0,9
203,3,1,3
204,0,0,6
205,0,0,9
206,0,0,1
207,0,0,3
208,3,1,9
209,1,1,6
210,0,0,6
211,3,1,7
212,4,1,1
213,0,0,0
214,7,1,9
215,25,1,5
216,0,0,8
217,3,1,5
218,0,0,2
219,0,0,9
220,5,1,0
221,0,0,8
222,0,0,8
223,14,1,0
224,0,0,6
225,0,0,9
226,1,1,1
227,11,1,1
228,0,0,6
229,17,1,3
230,6,1,7
231,4,1,6
232,15,1,6
233,2,1,0
234,1,1,6
235,0,0,6
236,5,1,1
237,0,0,7
238,0,0,1
239,1,1,5
240,1,1,8
241,20,1,3
242,19,1,6
243,1,1,6
244,0,0,8
245,5,1,6
246,7,1,8
247,1,1,4
248,24,1,6
249,9,1,6
250,0,0,1
251,29,1,3
252,0,0,8
253,2,1,3
254,0,0,4
255,0,0,1
256,0,0,7
257,2,1,1
258,14,1,3
259,12,1,8
260,10,1,5
261,0,0,1
262,0,0,1
263,4,1,4
264,0,0,0
265,4,1,9
266,0,0,3
267,12,1,7
268,2,1,4
269,0,0,9
270,20,1,9
271,1,1,2
272,1,1,4
273,1,1,9
274,6,1,9
275,0,0,1
276,0,0,0
277,16,1,5
278,0,0,9
279,2,1,0
280,0,0,8
281,2,1,2
282,3,1,1
283,17,1,2
284,3,1,0
285,6,1,5
286,19,1,6
287,3,1,3
288,2,1,2
289,0,0,7
290,0,0,8
291,5,1,8
292,13,1,6
293,13,1,0
294,0,0,7
295,5,1,9
296,25,1,4
297,0,0,5
298,20,1,6
299,1,1,4
300,10,1,2
301,17,1,1
302,0,0,1
303,20,1,2
304,9,1,1
305,18,1,5
306,1,1,9
307,2,1,9
308,0,0,0
309,8,1,8
310,15,1,4
311,0,0,1
312,0,0,1
313,0,0,6
314,3,1,3
315,15,1,3
316,0,0,9
317,0,0,0
318,1,1,7
319,1,1,9
320,2,1,7
321,0,0,7
322,1,1,9
323,1,1,1
324,0,0,5
325,0,0,1
326,1,1,6
327,1,1,6
328,0,0,8
329,0,0,7
330,3,1,1
331,1,1,3
332,2,1,0
333,13,1,3
334,2,1,3
335,7,1,2
336,3,1,4
337,13,1,5
338,28,1,7
339,4,1,5
340,0,0,9
341,0,0,0
342,18,1,3
343,0,0,4
344,0,0,0
345,24,1,4
346,19,1,4
347,4,1,6
348,2,1,0
349,14,1,0
350,11,1,6
351,2,1,6
352,5,1,0
353,0,0,8
354,0,0,1
355,0,0,6
356,19,1,2
357,17,1,9
358,6,1,2
359,14,1,5
360,26,1,9
361,16,1,6
362,0,0,7
363,6,1,4
364,13,1,1
365,0,0,8
366,19,1,7
367,6,1,3
368,6,1,6
369,3,1,9
370,20,1,3
371,0,0,0
372,0,0,4
373,0,0,0
374,0,0,5
375,7,1,1
376,0,0,0
377,0,0,3
378,14,1,4
379,0,0,8
380,5,1,5
381,2,1,4
382,0,0,7
383,0,0,2
384,11,1,3
385,1,1,9
386,4,1,7
387,6,1,6
388,3,1,7
389,0,0,1
390,3,1,4
391,2,1,7
392,13,1,0
393,9,1,1
394,0,0,7
395,10,1,3
396,16,1,1
397,24,1,8
398,3,1,4
399,21,1,4
400,19,1,2
401,23,1,0
402,0,0,2
403,2,1,2
404,13,1,0
405,0,0,0
406,0,0,9
407,7,1,0
408,0,0,9
409,20,1,6
410,0,0,8
411,10,1,2
412,0,0,7
413,0,0,7
414,20,1,4
415,7,1,0
416,24,1,3
417,0,0,0
418,3,1,8
419,5,1,9
420,1,1,4
421,2,1,2
422,0,0,7
423,3,1,2
424,3,1,5
425,13,1,2
426,0,0,5
427,0,0,1
428,2,1,9
429,14,1,4
430,0,0,8
431,7,1,5
432,0,0,1
433,0,0,7
434,0,0,4
435,11,1,4
436,16,1,0
437,2,1,6
438,2,1,9
439,12,1,0
440,1,1,7
441,17,1,8
442,0,0,8
443,1,1,9
444,1,1,9
445,2,1,3
446,12,1,3
447,16,1,4
448,12,1,0
449,19,1,4
450,21,1,5
451,12,1,6
452,0,0,6
453,2,1,0
454,0,0,1
455,20,1,0
456,1,1,8
457,0,0,0
458,6,1,4
459,21,1,8
460,4,1,8
461,1,1,1
462,1,1,5
463,1,1,2
464,0,0,6
465,1,1,8
466,8,1,1
467,0,0,0
468,0,0,0
469,7,1,7
470,1,1,7
471,2,1,5
472,2,1,9
473,11,1,6
474,4,1,2
475,3,1,8
476,2,1,3
477,25,1,4
478,17,1,7
479,1,1,3
480,0,0,9
481,1,1,0
482,0,0,1
483,2,1,2
484,9,1,4
485,7,1,8
486,0,0,1
487,3,1,8
488,1,1,6
489,0,0,4
490,3,1,4
491,16,1,5
492,10,1,7
493,18,1,1
494,4,1,3
495,0,0,9
496,16,1,8
497,13,1,0
498,1,1,1
499,0,0,7
500,6,1,5
501,0,0,8
502,15,1,2
503,0,0,8
504,9,1,0
505,3,1,4
506,19,1,1
507,5,1,8
508,0,0,9
509,0,0,8
510,1,1,2
511,1,1,9
512,0,0,9
513,2,1,2
514,8,1,7
515,2,1,5
516,0,0,7
517,12,1,3
518,0,0,8
519,13,1,8
