indices,forgetting counts,forgettable,targets
0,0,0,5
1,0,0,0
2,0,0,4
3,0,0,1
4,0,0,9
5,0,0,2
6,0,0,1
7,0,0,3
8,0,0,1
9,0,0,4
10,0,0,3
11,0,0,5
12,0,0,3
13,0,0,6
14,0,0,1
15,0,0,7
16,0,0,2
17,0,0,8
18,0,0,6
19,0,0,9
20,0,0,4
21,0,0,0
22,0,0,9
23,0,0,1
24,5,1,1
25,0,0,2
26,0,0,4
27,0,0,3
28,0,0,2
29,1,1,7
30,0,0,3
31,0,0,8
32,0,0,6
33,0,0,9
34,0,0,0
35,0,0,5
36,0,0,6
37,0,0,0
38,0,0,7
39,0,0,6
40,0,0,1
41,0,0,8
42,0,0,7
43,0,0,9
44,0,0,3
45,0,0,9
46,0,0,8
47,0,0,5
48,2,1,9
49,0,0,3
50,0,0,3
51,0,0,0
52,0,0,7
53,0,0,4
54,0,0,9
55,0,0,8
56,0,0,0
57,0,0,9
58,0,0,4
59,0,0,1
60,0,0,4
61,0,0,4
62,0,0,6
63,0,0,0
64,0,0,4
65,0,0,5
66,0,0,6
67,0,0,1
68,0,0,0
69,0,0,0
70,2,1,1
71,0,0,7
72,0,0,1
73,0,0,6
74,0,0,3
75,0,0,0
76,0,0,2
77,0,0,1
78,0,0,1
79,0,0,7
80,3,1,9
81,0,0,0
82,0,0,2
83,0,0,6
84,0,0,7
85,0,0,8
86,0,0,3
87,0,0,9
88,0,0,0
89,0,0,4
90,0,0,6
91,0,0,7
92,0,0,4
93,0,0,6
94,0,0,8
95,0,0,0
96,0,0,7
97,0,0,8
98,0,0,3
99,0,0,1
100,0,0,5
101,0,0,7
102,0,0,1
103,0,0,7
104,0,0,1
105,0,0,1
106,0,0,6
107,0,0,3
108,0,0,0
109,0,0,2
110,0,0,9
111,0,0,3
112,0,0,1
113,0,0,1
114,0,0,0
115,0,0,4
116,0,0,9
117,0,0,2
118,0,0,0
119,0,0,0
120,0,0,2
121,0,0,0
122,0,0,2
123,0,0,7
124,0,0,1
125,0,0,8
126,0,0,6
127,0,0,4
128,0,0,1
129,0,0,6
130,0,0,3
131,0,0,4
132,5,1,5
133,0,0,9
134,0,0,1
135,0,0,3
136,0,0,3
137,0,0,8
138,0,0,5
139,0,0,4
140,0,0,7
141,0,0,7
142,0,0,4
143,0,0,2
144,0,0,8
145,0,0,5
146,0,0,8
147,0,0,6
148,3,1,7
149,0,0,3
150,0,0,4
151,0,0,6
152,0,0,1
153,0,0,9
154,0,0,9
155,0,0,6
156,0,0,0
157,0,0,3
158,0,0,7
159,0,0,2
160,0,0,8
161,0,0,2
162,0,0,9
163,0,0,4
164,0,0,4
165,0,0,6
166,0,0,4
167,0,0,9
168,0,0,7
169,0,0,0
170,0,0,9
171,0,0,2
172,8,1,9
173,0,0,5
174,0,0,1
175,0,0,5
176,0,0,9
177,0,0,1
178,0,0,2
179,0,0,3
180,2,1,2
181,0,0,3
182,0,0,5
183,0,0,9
184,0,0,1
185,0,0,7
186,0,0,6
187,0,0,2
188,0,0,8
189,0,0,2
190,0,0,2
191,0,0,5
192,0,0,0
193,0,0,7
194,0,0,4
195,0,0,9
196,0,0,7
197,0,0,8
198,0,0,3
199,0,0,2
200,0,0,1
201,0,0,1
202,1,1,8
203,0,0,3
204,0,0,6
205,0,0,1
206,0,0,0
207,0,0,3
208,0,0,1
209,0,0,0
210,0,0,0
211,0,0,1
212,6,1,7
213,0,0,2
214,0,0,7
215,0,0,3
216,0,0,0
217,0,0,4
218,0,0,6
219,0,0,5
220,0,0,2
221,0,0,6
222,1,1,4
223,0,0,7
224,5,1,1
225,0,0,8
226,0,0,9
227,0,0,9
228,0,0,3
229,0,0,0
230,0,0,7
231,0,0,1
232,0,0,0
233,0,0,2
234,0,0,0
235,0,0,3
236,0,0,5
237,0,0,4
238,0,0,6
239,0,0,5
240,0,0,8
241,0,0,6
242,0,0,3
243,0,0,7
244,0,0,5
245,0,0,8
246,0,0,0
247,0,0,9
248,0,0,1
249,0,0,0
250,0,0,3
251,0,0,1
252,0,0,2
253,0,0,2
254,0,0,3
255,0,0,3
256,0,0,6
257,0,0,4
258,0,0,7
259,0,0,5
260,0,0,0
261,0,0,6
262,1,1,2
263,0,0,7
264,0,0,9
265,0,0,8
266,0,0,5
267,0,0,9
268,0,0,2
269,0,0,1
270,0,0,1
271,0,0,4
272,0,0,4
273,0,0,5
274,0,0,6
275,0,0,4
276,0,0,1
277,0,0,2
278,1,1,5
279,0,0,3
280,0,0,9
281,0,0,3
282,1,1,9
283,0,0,0
284,0,0,5
285,0,0,9
286,0,0,6
287,0,0,5
288,0,0,7
289,0,0,4
290,0,0,1
291,0,0,3
292,0,0,4
293,0,0,0
294,0,0,4
295,0,0,8
296,0,0,0
297,0,0,4
298,0,0,3
299,0,0,6
300,0,0,8
301,0,0,7
302,0,0,6
303,0,0,0
304,0,0,9
305,0,0,7
306,0,0,5
307,0,0,7
308,0,0,2
309,0,0,1
310,0,0,1
311,0,0,6
312,0,0,8
313,0,0,9
314,0,0,4
315,0,0,1
316,0,0,5
317,0,0,2
318,0,0,2
319,0,0,9
320,0,0,0
321,0,0,3
322,0,0,9
323,0,0,6
324,0,0,7
325,0,0,2
326,0,0,0
327,0,0,3
328,0,0,5
329,0,0,4
330,0,0,3
331,0,0,6
332,0,0,5
333,0,0,8
334,0,0,9
335,0,0,5
336,0,0,4
337,0,0,7
338,0,0,4
339,0,0,2
340,1,1,7
341,0,0,3
342,0,0,4
343,0,0,8
344,0,0,9
345,0,0,1
346,0,0,9
347,0,0,2
348,0,0,8
349,0,0,7
350,0,0,9
351,0,0,1
352,0,0,8
353,0,0,7
354,0,0,4
355,0,0,1
356,0,0,3
357,0,0,1
358,0,0,1
359,0,0,0
360,0,0,2
361,0,0,3
362,0,0,9
363,0,0,4
364,0,0,9
365,0,0,2
366,0,0,1
367,0,0,6
368,0,0,8
369,0,0,4
370,4,1,7
371,0,0,7
372,0,0,4
373,0,0,4
374,0,0,9
375,0,0,2
376,0,0,5
377,0,0,7
378,0,0,2
379,0,0,4
380,0,0,4
381,0,0,2
382,0,0,1
383,0,0,9
384,0,0,7
385,0,0,2
386,0,0,8
387,0,0,7
388,0,0,6
389,0,0,9
390,7,1,2
391,1,1,2
392,0,0,3
393,0,0,8
394,0,0,1
395,0,0,6
396,0,0,5
397,0,0,1
398,0,0,1
399,0,0,0
400,0,0,2
401,0,0,6
402,0,0,4
403,0,0,5
404,0,0,8
405,0,0,3
406,0,0,1
407,0,0,5
408,0,0,1
409,0,0,9
410,0,0,2
411,0,0,7
412,1,1,4
413,0,0,4
414,0,0,4
415,0,0,8
416,0,0,1
417,0,0,5
418,3,1,8
419,0,0,9
420,0,0,5
421,0,0,6
422,0,0,7
423,0,0,9
424,0,0,9
425,0,0,3
426,0,0,7
427,0,0,0
428,0,0,9
429,0,0,0
430,0,0,6
431,0,0,6
432,0,0,2
433,0,0,3
434,0,0,9
435,0,0,0
436,0,0,7
437,0,0,5
438,0,0,4
439,0,0,8
440,0,0,0
441,0,0,9
442,0,0,4
443,0,0,1
444,1,1,2
445,0,0,8
446,0,0,7
447,0,0,1
448,0,0,2
449,0,0,6
450,0,0,1
451,0,0,0
452,0,0,3
453,0,0,0
454,0,0,1
455,0,0,1
456,0,0,8
457,0,0,2
458,0,0,0
459,0,0,3
460,0,0,9
461,0,0,4
462,0,0,0
463,0,0,5
464,0,0,0
465,0,0,6
466,0,0,1
467,0,0,7
468,0,0,7
469,0,0,8
470,1,1,1
471,0,0,9
472,0,0,2
473,0,0,0
474,0,0,5
475,0,0,1
476,0,0,2
477,0,0,2
478,0,0,7
479,0,0,3
480,0,0,5
481,0,0,4
482,4,1,9
483,0,0,7
484,0,0,1
485,0,0,8
486,0,0,3
487,0,0,9
488,0,0,6
489,0,0,0
490,0,0,3
491,0,0,1
492,0,0,1
493,0,0,2
494,3,1,6
495,0,0,3
496,0,0,5
497,0,0,7
498,0,0,6
499,0,0,8
500,3,1,3
501,0,0,9
502,0,0,5
503,0,0,8
504,0,0,5
505,0,0,7
506,0,0,6
507,0,0,1
508,0,0,1
509,0,0,3
510,0,0,1
511,0,0,7
512,0,0,5
513,0,0,5
514,0,0,5
515,0,0,2
516,0,0,5
517,1,1,8
518,0,0,7
519,0,0,0
520,0,0,9
521,0,0,7
522,0,0,7
523,0,0,5
524,0,0,0
525,0,0,9
526,0,0,0
527,0,0,0
528,0,0,8
529,0,0,9
530,0,0,2
531,0,0,4
532,0,0,8
533,0,0,1
534,0,0,6
535,0,0,1
536,0,0,6
537,0,0,5
538,0,0,1
539,0,0,8
540,0,0,3
541,0,0,4
542,0,0,0
543,0,0,5
544,0,0,5
